total_customers,customer_gender,customer_count,percentage,customer_country,customer_status,count,customer_type,customer_lang,year,new_customers,month,age_group,avg_age,period,customer_identification_type,customer_identifier,id_count,customer_proof_of_id_type,active_count,customers_with_expired_id,customer_contact_type,active_contacts,contact_type_count,customer_address_type,address_type_count,customer_classification_type,customer_classification_value,customer_name_type,name_type_count,pct_within_country,prev_year_count,growth_pct,quarter,total,active,inactive,customers_without_contact,customers_without_address,customers_without_identification,completeness_score,crud_flag,addresses_added,expiring_soon
=== Q01_total_customers: Total Number of Customers ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,=== Q02_gender_distribution: Gender Distribution ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,30,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,26,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O,23,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,21,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=== Q03_customers_by_country: Customer Count by Country ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
